record_id,account_id,recorded_on,amount,currency,category,memo
rec-000066,acct-007,2026-05-11,10042,JPY,one_time,sample record 66
rec-000067,acct-008,2026-05-12,10179,JPY,refund,sample record 67
rec-000068,acct-009,2026-05-13,10316,JPY,adjustment,sample record 68
rec-000069,acct-010,2026-05-14,10453,JPY,usage,sample record 69
rec-000070,acct-001,2026-05-15,10590,JPY,subscription,sample record 70
rec-000071,acct-002,2026-05-16,10727,JPY,one_time,sample record 71
rec-000072,acct-003,2026-05-17,10864,JPY,refund,sample record 72
rec-000073,acct-004,2026-05-18,11001,JPY,adjustment,sample record 73
rec-000074,acct-005,2026-05-19,11138,JPY,usage,sample record 74
rec-000075,acct-006,2026-05-20,11275,JPY,subscription,sample record 75
rec-000076,acct-007,2026-05-21,11412,JPY,one_time,sample record 76
rec-000077,acct-008,2026-05-22,11549,JPY,refund,sample record 77
rec-000078,acct-009,2026-05-23,11686,JPY,adjustment,sample record 78
rec-000079,acct-010,2026-05-24,11823,JPY,usage,sample record 79
rec-000080,acct-001,2026-05-25,11960,JPY,subscription,sample record 80
rec-000081,acct-002,2026-05-26,12097,JPY,one_time,sample record 81
rec-000082,acct-003,2026-05-27,12234,JPY,refund,sample record 82
rec-000083,acct-004,2026-05-28,12371,JPY,adjustment,sample record 83
rec-000084,acct-005,2026-05-01,12508,JPY,usage,sample record 84
rec-000085,acct-006,2026-05-02,12645,JPY,subscription,sample record 85
rec-000086,acct-007,2026-05-03,12782,JPY,one_time,sample record 86
rec-000087,acct-008,2026-05-04,12919,JPY,refund,sample record 87
rec-000088,acct-009,2026-05-05,13056,JPY,adjustment,sample record 88
rec-000089,acct-010,2026-05-06,13193,JPY,usage,sample record 89
rec-000090,acct-001,2026-05-07,13330,JPY,subscription,sample record 90
rec-000091,acct-002,2026-05-08,13467,JPY,one_time,sample record 91
rec-000092,acct-003,2026-05-09,13604,JPY,refund,sample record 92
rec-000093,acct-004,2026-05-10,13741,JPY,adjustment,sample record 93
rec-000094,acct-005,2026-05-11,13878,JPY,usage,sample record 94
rec-000095,acct-006,2026-05-12,14015,JPY,subscription,sample record 95
rec-000096,acct-007,2026-05-13,14152,JPY,one_time,sample record 96
rec-000097,acct-008,2026-05-14,14289,JPY,refund,sample record 97
rec-000098,acct-009,2026-05-15,14426,JPY,adjustment,sample record 98
rec-000099,acct-010,2026-05-16,14563,JPY,usage,sample record 99
rec-000100,acct-001,2026-05-17,14700,JPY,subscription,sample record 100
rec-000101,acct-002,2026-05-18,14837,JPY,one_time,sample record 101
rec-000102,acct-003,2026-05-19,14974,JPY,refund,sample record 102
rec-000103,acct-004,2026-05-20,15111,JPY,adjustment,sample record 103
rec-000104,acct-005,2026-05-21,15248,JPY,usage,sample record 104
rec-000105,acct-006,2026-05-22,15385,JPY,subscription,sample record 105
rec-000106,acct-007,2026-05-23,15522,JPY,one_time,sample record 106
rec-000107,acct-008,2026-05-24,15659,JPY,refund,sample record 107
rec-000108,acct-009,2026-05-25,15796,JPY,adjustment,sample record 108
rec-000109,acct-010,2026-05-26,15933,JPY,usage,sample record 109
rec-000110,acct-001,2026-05-27,16070,JPY,subscription,sample record 110
rec-000111,acct-002,2026-05-28,16207,JPY,one_time,sample record 111
rec-000112,acct-003,2026-05-01,16344,JPY,refund,sample record 112
rec-000113,acct-004,2026-05-02,16481,JPY,adjustment,sample record 113
rec-000114,acct-005,2026-05-03,16618,JPY,usage,sample record 114
rec-000115,acct-006,2026-05-04,16755,JPY,subscription,sample record 115
rec-000116,acct-007,2026-05-05,16892,JPY,one_time,sample record 116
rec-000117,acct-008,2026-05-06,17029,JPY,refund,sample record 117
rec-000118,acct-009,2026-05-07,17166,JPY,adjustment,sample record 118
rec-000119,acct-010,2026-05-08,17303,JPY,usage,sample record 119
rec-000120,acct-001,2026-05-09,17440,JPY,subscription,sample record 120
rec-000121,acct-002,2026-05-10,17577,JPY,one_time,sample record 121
rec-000122,acct-003,2026-05-11,17714,JPY,refund,sample record 122
rec-000123,acct-004,2026-05-12,17851,JPY,adjustment,sample record 123
rec-000124,acct-005,2026-05-13,17988,JPY,usage,sample record 124
rec-000125,acct-006,2026-05-14,18125,JPY,subscription,sample record 125
rec-000126,acct-007,2026-05-15,18262,JPY,one_time,sample record 126
rec-000127,acct-008,2026-05-16,18399,JPY,refund,sample record 127
rec-000128,acct-009,2026-05-17,18536,JPY,adjustment,sample record 128
rec-000129,acct-010,2026-05-18,18673,JPY,usage,sample record 129
rec-000130,acct-001,2026-05-19,18810,JPY,subscription,sample record 130
rec-000131,acct-002,2026-05-20,18947,JPY,one_time,sample record 131
rec-000132,acct-003,2026-05-21,19084,JPY,refund,sample record 132
rec-000133,acct-004,2026-05-22,19221,JPY,adjustment,sample record 133
rec-000134,acct-005,2026-05-23,19358,JPY,usage,sample record 134
rec-000135,acct-006,2026-05-24,19495,JPY,subscription,sample record 135
rec-000136,acct-007,2026-05-25,19632,JPY,one_time,sample record 136
rec-000137,acct-008,2026-05-26,19769,JPY,refund,sample record 137
rec-000138,acct-009,2026-05-27,19906,JPY,adjustment,sample record 138
rec-000139,acct-010,2026-05-28,20043,JPY,usage,sample record 139
rec-000140,acct-001,2026-05-01,20180,JPY,subscription,sample record 140
rec-000141,acct-002,2026-05-02,20317,JPY,one_time,sample record 141
rec-000142,acct-003,2026-05-03,20454,JPY,refund,sample record 142
rec-000143,acct-004,2026-05-04,20591,JPY,adjustment,sample record 143
rec-000144,acct-005,2026-05-05,20728,JPY,usage,sample record 144
rec-000145,acct-006,2026-05-06,20865,JPY,subscription,sample record 145
rec-000146,acct-007,2026-05-07,21002,JPY,one_time,sample record 146
rec-000147,acct-008,2026-05-08,21139,JPY,refund,sample record 147
rec-000148,acct-009,2026-05-09,21276,JPY,adjustment,sample record 148
rec-000149,acct-010,2026-05-10,21413,JPY,usage,sample record 149
rec-000150,acct-001,2026-05-11,21550,JPY,subscription,sample record 150
rec-000151,acct-002,2026-05-12,21687,JPY,one_time,sample record 151
rec-000152,acct-003,2026-05-13,21824,JPY,refund,sample record 152
rec-000153,acct-004,2026-05-14,21961,JPY,adjustment,sample record 153
rec-000154,acct-005,2026-05-15,22098,JPY,usage,sample record 154
rec-000155,acct-006,2026-05-16,22235,JPY,subscription,sample record 155
rec-000156,acct-007,2026-05-17,22372,JPY,one_time,sample record 156
rec-000157,acct-008,2026-05-18,22509,JPY,refund,sample record 157
rec-000158,acct-009,2026-05-19,22646,JPY,adjustment,sample record 158
rec-000159,acct-010,2026-05-20,22783,JPY,usage,sample record 159
rec-000160,acct-001,2026-05-21,22920,JPY,subscription,sample record 160
rec-000161,acct-002,2026-05-22,23057,JPY,one_time,sample record 161
rec-000162,acct-003,2026-05-23,23194,JPY,refund,sample record 162
rec-000163,acct-004,2026-05-24,23331,JPY,adjustment,sample record 163
rec-000164,acct-005,2026-05-25,23468,JPY,usage,sample record 164
rec-000165,acct-006,2026-05-26,23605,JPY,subscription,sample record 165
rec-000166,acct-007,2026-05-27,23742,JPY,one_time,sample record 166
rec-000167,acct-008,2026-05-28,23879,JPY,refund,sample record 167
rec-000168,acct-009,2026-05-01,24016,JPY,adjustment,sample record 168
rec-000169,acct-010,2026-05-02,24153,JPY,usage,sample record 169
rec-000170,acct-001,2026-05-03,24290,JPY,subscription,sample record 170
rec-000171,acct-002,2026-05-04,24427,JPY,one_time,sample record 171
rec-000172,acct-003,2026-05-05,24564,JPY,refund,sample record 172
rec-000173,acct-004,2026-05-06,24701,JPY,adjustment,sample record 173
rec-000174,acct-005,2026-05-07,24838,JPY,usage,sample record 174
rec-000175,acct-006,2026-05-08,24975,JPY,subscription,sample record 175
rec-000176,acct-007,2026-05-09,25112,JPY,one_time,sample record 176
rec-000177,acct-008,2026-05-10,25249,JPY,refund,sample record 177
rec-000178,acct-009,2026-05-11,25386,JPY,adjustment,sample record 178
rec-000179,acct-010,2026-05-12,25523,JPY,usage,sample record 179
rec-000180,acct-001,2026-05-13,25660,JPY,subscription,sample record 180
rec-000181,acct-002,2026-05-14,25797,JPY,one_time,sample record 181
rec-000182,acct-003,2026-05-15,25934,JPY,refund,sample record 182
rec-000183,acct-004,2026-05-16,26071,JPY,adjustment,sample record 183
rec-000184,acct-005,2026-05-17,26208,JPY,usage,sample record 184
rec-000185,acct-006,2026-05-18,26345,JPY,subscription,sample record 185
rec-000186,acct-007,2026-05-19,26482,JPY,one_time,sample record 186
rec-000187,acct-008,2026-05-20,26619,JPY,refund,sample record 187
rec-000188,acct-009,2026-05-21,26756,JPY,adjustment,sample record 188
rec-000189,acct-010,2026-05-22,26893,JPY,usage,sample record 189
rec-000190,acct-001,2026-05-23,27030,JPY,subscription,sample record 190
rec-000191,acct-002,2026-05-24,27167,JPY,one_time,sample record 191
rec-000192,acct-003,2026-05-25,27304,JPY,refund,sample record 192
rec-000193,acct-004,2026-05-26,27441,JPY,adjustment,sample record 193
rec-000194,acct-005,2026-05-27,27578,JPY,usage,sample record 194
rec-000195,acct-006,2026-05-28,27715,JPY,subscription,sample record 195
rec-000196,acct-007,2026-05-01,27852,JPY,one_time,sample record 196
rec-000197,acct-008,2026-05-02,27989,JPY,refund,sample record 197
rec-000198,acct-009,2026-05-03,28126,JPY,adjustment,sample record 198
rec-000199,acct-010,2026-05-04,28263,JPY,usage,sample record 199
rec-000200,acct-001,2026-05-05,28400,JPY,subscription,sample record 200
rec-000201,acct-002,2026-05-06,28537,JPY,one_time,sample record 201
rec-000202,acct-003,2026-05-07,28674,JPY,refund,sample record 202
rec-000203,acct-004,2026-05-08,28811,JPY,adjustment,sample record 203
rec-000204,acct-005,2026-05-09,28948,JPY,usage,sample record 204
rec-000205,acct-006,2026-05-10,29085,JPY,subscription,sample record 205
rec-000206,acct-007,2026-05-11,29222,JPY,one_time,sample record 206
rec-000207,acct-008,2026-05-12,29359,JPY,refund,sample record 207
rec-000208,acct-009,2026-05-13,29496,JPY,adjustment,sample record 208
rec-000209,acct-010,2026-05-14,29633,JPY,usage,sample record 209
rec-000210,acct-001,2026-05-15,29770,JPY,subscription,sample record 210
rec-000211,acct-002,2026-05-16,29907,JPY,one_time,sample record 211
rec-000212,acct-003,2026-05-17,30044,JPY,refund,sample record 212
rec-000213,acct-004,2026-05-18,30181,JPY,adjustment,sample record 213
rec-000214,acct-005,2026-05-19,30318,JPY,usage,sample record 214
rec-000215,acct-006,2026-05-20,30455,JPY,subscription,sample record 215
rec-000216,acct-007,2026-05-21,30592,JPY,one_time,sample record 216
rec-000217,acct-008,2026-05-22,30729,JPY,refund,sample record 217
rec-000218,acct-009,2026-05-23,30866,JPY,adjustment,sample record 218
rec-000219,acct-010,2026-05-24,31003,JPY,usage,sample record 219
rec-000220,acct-001,2026-05-25,31140,JPY,subscription,sample record 220
rec-000221,acct-002,2026-05-26,31277,JPY,one_time,sample record 221
rec-000222,acct-003,2026-05-27,31414,JPY,refund,sample record 222
rec-000223,acct-004,2026-05-28,31551,JPY,adjustment,sample record 223
rec-000224,acct-005,2026-05-01,31688,JPY,usage,sample record 224
rec-000225,acct-006,2026-05-02,31825,JPY,subscription,sample record 225
rec-000226,acct-007,2026-05-03,31962,JPY,one_time,sample record 226
rec-000227,acct-008,2026-05-04,32099,JPY,refund,sample record 227
rec-000228,acct-009,2026-05-05,32236,JPY,adjustment,sample record 228
rec-000229,acct-010,2026-05-06,32373,JPY,usage,sample record 229
rec-000230,acct-001,2026-05-07,32510,JPY,subscription,sample record 230
rec-000231,acct-002,2026-05-08,32647,JPY,one_time,sample record 231
rec-000232,acct-003,2026-05-09,32784,JPY,refund,sample record 232
rec-000233,acct-004,2026-05-10,32921,JPY,adjustment,sample record 233
rec-000234,acct-005,2026-05-11,33058,JPY,usage,sample record 234
rec-000235,acct-006,2026-05-12,33195,JPY,subscription,sample record 235
rec-000236,acct-007,2026-05-13,33332,JPY,one_time,sample record 236
rec-000237,acct-008,2026-05-14,33469,JPY,refund,sample record 237
rec-000238,acct-009,2026-05-15,33606,JPY,adjustment,sample record 238
rec-000239,acct-010,2026-05-16,33743,JPY,usage,sample record 239
rec-000240,acct-001,2026-05-17,33880,JPY,subscription,sample record 240
rec-000241,acct-002,2026-05-18,34017,JPY,one_time,sample record 241
rec-000242,acct-003,2026-05-19,34154,JPY,refund,sample record 242
rec-000243,acct-004,2026-05-20,34291,JPY,adjustment,sample record 243
rec-000244,acct-005,2026-05-21,34428,JPY,usage,sample record 244
rec-000245,acct-006,2026-05-22,34565,JPY,subscription,sample record 245
rec-000246,acct-007,2026-05-23,34702,JPY,one_time,sample record 246
rec-000247,acct-008,2026-05-24,34839,JPY,refund,sample record 247
rec-000248,acct-009,2026-05-25,34976,JPY,adjustment,sample record 248
rec-000249,acct-010,2026-05-26,35113,JPY,usage,sample record 249
rec-000250,acct-001,2026-05-27,35250,JPY,subscription,sample record 250
rec-000251,acct-002,2026-05-28,35387,JPY,one_time,sample record 251
rec-000252,acct-003,2026-05-01,35524,JPY,refund,sample record 252
rec-000253,acct-004,2026-05-02,35661,JPY,adjustment,sample record 253
rec-000254,acct-005,2026-05-03,35798,JPY,usage,sample record 254
rec-000255,acct-006,2026-05-04,35935,JPY,subscription,sample record 255
rec-000256,acct-007,2026-05-05,36072,JPY,one_time,sample record 256
rec-000257,acct-008,2026-05-06,36209,JPY,refund,sample record 257
rec-000258,acct-009,2026-05-07,36346,JPY,adjustment,sample record 258
rec-000259,acct-010,2026-05-08,36483,JPY,usage,sample record 259
rec-000260,acct-001,2026-05-09,36620,JPY,subscription,sample record 260
rec-000261,acct-002,2026-05-10,36757,JPY,one_time,sample record 261
rec-000262,acct-003,2026-05-11,36894,JPY,refund,sample record 262
rec-000263,acct-004,2026-05-12,37031,JPY,adjustment,sample record 263
rec-000264,acct-005,2026-05-13,37168,JPY,usage,sample record 264
rec-000265,acct-006,2026-05-14,37305,JPY,subscription,sample record 265
rec-000266,acct-007,2026-05-15,37442,JPY,one_time,sample record 266
rec-000267,acct-008,2026-05-16,37579,JPY,refund,sample record 267
rec-000268,acct-009,2026-05-17,37716,JPY,adjustment,sample record 268
rec-000269,acct-010,2026-05-18,37853,JPY,usage,sample record 269
rec-000270,acct-001,2026-05-19,37990,JPY,subscription,sample record 270
rec-000271,acct-002,2026-05-20,38127,JPY,one_time,sample record 271
rec-000272,acct-003,2026-05-21,38264,JPY,refund,sample record 272
rec-000273,acct-004,2026-05-22,38401,JPY,adjustment,sample record 273
rec-000274,acct-005,2026-05-23,38538,JPY,usage,sample record 274
rec-000275,acct-006,2026-05-24,38675,JPY,subscription,sample record 275
rec-000276,acct-007,2026-05-25,38812,JPY,one_time,sample record 276
rec-000277,acct-008,2026-05-26,38949,JPY,refund,sample record 277
rec-000278,acct-009,2026-05-27,39086,JPY,adjustment,sample record 278
rec-000279,acct-010,2026-05-28,39223,JPY,usage,sample record 279
rec-000280,acct-001,2026-05-01,39360,JPY,subscription,sample record 280
rec-000281,acct-002,2026-05-02,39497,JPY,one_time,sample record 281
rec-000282,acct-003,2026-05-03,39634,JPY,refund,sample record 282
rec-000283,acct-004,2026-05-04,39771,JPY,adjustment,sample record 283
rec-000284,acct-005,2026-05-05,39908,JPY,usage,sample record 284
rec-000285,acct-006,2026-05-06,40045,JPY,subscription,sample record 285
rec-000286,acct-007,2026-05-07,40182,JPY,one_time,sample record 286
rec-000287,acct-008,2026-05-08,40319,JPY,refund,sample record 287
rec-000288,acct-009,2026-05-09,40456,JPY,adjustment,sample record 288
rec-000289,acct-010,2026-05-10,40593,JPY,usage,sample record 289
rec-000290,acct-001,2026-05-11,40730,JPY,subscription,sample record 290
rec-000291,acct-002,2026-05-12,40867,JPY,one_time,sample record 291
rec-000292,acct-003,2026-05-13,41004,JPY,refund,sample record 292
rec-000293,acct-004,2026-05-14,41141,JPY,adjustment,sample record 293
rec-000294,acct-005,2026-05-15,41278,JPY,usage,sample record 294
rec-000295,acct-006,2026-05-16,41415,JPY,subscription,sample record 295
rec-000296,acct-007,2026-05-17,41552,JPY,one_time,sample record 296
rec-000297,acct-008,2026-05-18,41689,JPY,refund,sample record 297
rec-000298,acct-009,2026-05-19,41826,JPY,adjustment,sample record 298
rec-000299,acct-010,2026-05-20,41963,JPY,usage,sample record 299
rec-000300,acct-001,2026-05-21,42100,JPY,subscription,sample record 300
rec-000301,acct-002,2026-05-22,42237,JPY,one_time,sample record 301
rec-000302,acct-003,2026-05-23,42374,JPY,refund,sample record 302
rec-000303,acct-004,2026-05-24,42511,JPY,adjustment,sample record 303
rec-000304,acct-005,2026-05-25,42648,JPY,usage,sample record 304
rec-000305,acct-006,2026-05-26,42785,JPY,subscription,sample record 305
rec-000306,acct-007,2026-05-27,42922,JPY,one_time,sample record 306
rec-000307,acct-008,2026-05-28,43059,JPY,refund,sample record 307
rec-000308,acct-009,2026-05-01,43196,JPY,adjustment,sample record 308
rec-000309,acct-010,2026-05-02,43333,JPY,usage,sample record 309
rec-000310,acct-001,2026-05-03,43470,JPY,subscription,sample record 310
rec-000311,acct-002,2026-05-04,43607,JPY,one_time,sample record 311
rec-000312,acct-003,2026-05-05,43744,JPY,refund,sample record 312
rec-000313,acct-004,2026-05-06,43881,JPY,adjustment,sample record 313
rec-000314,acct-005,2026-05-07,44018,JPY,usage,sample record 314
rec-000315,acct-006,2026-05-08,44155,JPY,subscription,sample record 315
rec-000316,acct-007,2026-05-09,44292,JPY,one_time,sample record 316
rec-000317,acct-008,2026-05-10,44429,JPY,refund,sample record 317
rec-000318,acct-009,2026-05-11,44566,JPY,adjustment,sample record 318
rec-000319,acct-010,2026-05-12,44703,JPY,usage,sample record 319
rec-000320,acct-001,2026-05-13,44840,JPY,subscription,sample record 320
rec-000321,acct-002,2026-05-14,44977,JPY,one_time,sample record 321
rec-000322,acct-003,2026-05-15,45114,JPY,refund,sample record 322
rec-000323,acct-004,2026-05-16,45251,JPY,adjustment,sample record 323
rec-000324,acct-005,2026-05-17,45388,JPY,usage,sample record 324
rec-000325,acct-006,2026-05-18,45525,JPY,subscription,sample record 325
rec-000326,acct-007,2026-05-19,45662,JPY,one_time,sample record 326
rec-000327,acct-008,2026-05-20,45799,JPY,refund,sample record 327
rec-000328,acct-009,2026-05-21,45936,JPY,adjustment,sample record 328
rec-000329,acct-010,2026-05-22,46073,JPY,usage,sample record 329
rec-000330,acct-001,2026-05-23,46210,JPY,subscription,sample record 330
rec-000331,acct-002,2026-05-24,46347,JPY,one_time,sample record 331
rec-000332,acct-003,2026-05-25,46484,JPY,refund,sample record 332
rec-000333,acct-004,2026-05-26,46621,JPY,adjustment,sample record 333
rec-000334,acct-005,2026-05-27,46758,JPY,usage,sample record 334
rec-000335,acct-006,2026-05-28,46895,JPY,subscription,sample record 335
rec-000336,acct-007,2026-05-01,47032,JPY,one_time,sample record 336
rec-000337,acct-008,2026-05-02,47169,JPY,refund,sample record 337
rec-000338,acct-009,2026-05-03,47306,JPY,adjustment,sample record 338
rec-000339,acct-010,2026-05-04,47443,JPY,usage,sample record 339
rec-000340,acct-001,2026-05-05,47580,JPY,subscription,sample record 340
rec-000341,acct-002,2026-05-06,47717,JPY,one_time,sample record 341
rec-000342,acct-003,2026-05-07,47854,JPY,refund,sample record 342
rec-000343,acct-004,2026-05-08,47991,JPY,adjustment,sample record 343
rec-000344,acct-005,2026-05-09,48128,JPY,usage,sample record 344
rec-000345,acct-006,2026-05-10,48265,JPY,subscription,sample record 345
rec-000346,acct-007,2026-05-11,48402,JPY,one_time,sample record 346
rec-000347,acct-008,2026-05-12,48539,JPY,refund,sample record 347
rec-000348,acct-009,2026-05-13,48676,JPY,adjustment,sample record 348
rec-000349,acct-010,2026-05-14,48813,JPY,usage,sample record 349
rec-000350,acct-001,2026-05-15,48950,JPY,subscription,sample record 350
rec-000351,acct-002,2026-05-16,49087,JPY,one_time,sample record 351
rec-000352,acct-003,2026-05-17,49224,JPY,refund,sample record 352
rec-000353,acct-004,2026-05-18,49361,JPY,adjustment,sample record 353
rec-000354,acct-005,2026-05-19,49498,JPY,usage,sample record 354
rec-000355,acct-006,2026-05-20,49635,JPY,subscription,sample record 355
rec-000356,acct-007,2026-05-21,49772,JPY,one_time,sample record 356
rec-000357,acct-008,2026-05-22,49909,JPY,refund,sample record 357
rec-000358,acct-009,2026-05-23,50046,JPY,adjustment,sample record 358
rec-000359,acct-010,2026-05-24,50183,JPY,usage,sample record 359
rec-000360,acct-001,2026-05-25,50320,JPY,subscription,sample record 360
rec-000361,acct-002,2026-05-26,50457,JPY,one_time,sample record 361
rec-000362,acct-003,2026-05-27,50594,JPY,refund,sample record 362
rec-000363,acct-004,2026-05-28,50731,JPY,adjustment,sample record 363
rec-000364,acct-005,2026-05-01,50868,JPY,usage,sample record 364
rec-000365,acct-006,2026-05-02,51005,JPY,subscription,sample record 365
rec-000366,acct-007,2026-05-03,51142,JPY,one_time,sample record 366
rec-000367,acct-008,2026-05-04,51279,JPY,refund,sample record 367
rec-000368,acct-009,2026-05-05,51416,JPY,adjustment,sample record 368
rec-000369,acct-010,2026-05-06,51553,JPY,usage,sample record 369
rec-000370,acct-001,2026-05-07,51690,JPY,subscription,sample record 370
rec-000371,acct-002,2026-05-08,51827,JPY,one_time,sample record 371
rec-000372,acct-003,2026-05-09,51964,JPY,refund,sample record 372
rec-000373,acct-004,2026-05-10,52101,JPY,adjustment,sample record 373
rec-000374,acct-005,2026-05-11,52238,JPY,usage,sample record 374
rec-000375,acct-006,2026-05-12,52375,JPY,subscription,sample record 375
rec-000376,acct-007,2026-05-13,52512,JPY,one_time,sample record 376
rec-000377,acct-008,2026-05-14,52649,JPY,refund,sample record 377
rec-000378,acct-009,2026-05-15,52786,JPY,adjustment,sample record 378
rec-000379,acct-010,2026-05-16,52923,JPY,usage,sample record 379
rec-000380,acct-001,2026-05-17,53060,JPY,subscription,sample record 380
rec-000381,acct-002,2026-05-18,53197,JPY,one_time,sample record 381
rec-000382,acct-003,2026-05-19,53334,JPY,refund,sample record 382
rec-000383,acct-004,2026-05-20,53471,JPY,adjustment,sample record 383
rec-000384,acct-005,2026-05-21,53608,JPY,usage,sample record 384
rec-000385,acct-006,2026-05-22,53745,JPY,subscription,sample record 385
rec-000386,acct-007,2026-05-23,53882,JPY,one_time,sample record 386
rec-000387,acct-008,2026-05-24,54019,JPY,refund,sample record 387
rec-000388,acct-009,2026-05-25,54156,JPY,adjustment,sample record 388
rec-000389,acct-010,2026-05-26,54293,JPY,usage,sample record 389
rec-000390,acct-001,2026-05-27,54430,JPY,subscription,sample record 390
rec-000391,acct-002,2026-05-28,54567,JPY,one_time,sample record 391
rec-000392,acct-003,2026-05-01,54704,JPY,refund,sample record 392
rec-000393,acct-004,2026-05-02,54841,JPY,adjustment,sample record 393
rec-000394,acct-005,2026-05-03,54978,JPY,usage,sample record 394
rec-000395,acct-006,2026-05-04,55115,JPY,subscription,sample record 395
rec-000396,acct-007,2026-05-05,55252,JPY,one_time,sample record 396
rec-000397,acct-008,2026-05-06,55389,JPY,refund,sample record 397
rec-000398,acct-009,2026-05-07,55526,JPY,adjustment,sample record 398
rec-000399,acct-010,2026-05-08,55663,JPY,usage,sample record 399
rec-000400,acct-001,2026-05-09,55800,JPY,subscription,sample record 400
